carat,cut,color,clarity,depth,table,x,y,z,price_predicted
0.73,4,4,4,62.6,56.0,5.73,5.71,3.58,3967.229096618238
0.56,4,6,3,61.9,57.0,5.26,5.3,3.27,2720.536183555979
0.42,2,6,1,63.1,56.0,4.8,4.74,3.01,293.4181183144965
0.81,2,4,5,63.1,56.0,5.99,5.9,3.75,4821.39846776147
0.72,4,1,3,61.8,56.0,5.72,5.77,3.56,2465.881256133595
0.41,4,6,3,62.4,55.0,4.76,4.79,2.98,1547.5827501399062
1.01,2,1,2,63.3,59.0,6.26,6.22,3.95,4178.735754353379
1.13,4,5,0,62.0,55.0,6.66,6.7,4.14,5871.17549517057
1.53,3,4,3,58.5,60.0,7.62,7.56,4.44,10566.947529652196
0.72,4,2,6,62.5,57.0,5.7,5.73,3.57,4223.8155791618865
0.7,2,5,1,59.5,56.0,5.79,5.81,3.45,2429.7414205920177
1.09,2,3,3,60.9,56.0,6.67,6.7,4.07,6111.14231800342
1.22,2,1,4,61.6,60.0,6.86,6.8,4.21,7037.4792052053635
0.31,4,6,4,60.5,55.0,4.43,4.39,2.67,1410.1271708729741
0.42,4,3,7,62.7,56.0,4.76,4.77,2.99,2636.98018339219
0.3,3,4,3,60.7,58.0,4.35,4.32,2.63,10.421454882918624
1.31,3,0,2,60.7,58.0,7.11,7.06,4.3,6714.330108293514
1.01,1,4,1,64.3,59.0,6.33,6.26,4.05,4383.084983040873
1.26,3,2,1,61.3,57.0,6.96,6.87,4.24,6426.144915457491
2.23,3,0,1,60.5,61.0,8.47,8.4,5.1,14889.90375087205
0.72,1,4,2,60.4,61.0,5.75,5.8,3.49,2533.1256257142277
1.0,0,4,3,64.7,59.0,6.22,6.15,4.0,5218.4733556541605
0.53,1,1,4,64.3,55.0,5.17,5.13,3.31,852.5578029059211
2.01,2,3,2,63.1,59.0,8.03,7.98,5.05,14085.450009520515
0.32,4,6,5,61.3,55.8,4.43,4.44,2.71,1933.4842928067605
1.04,4,2,2,62.7,54.0,6.51,6.47,4.07,5029.111573021355
1.22,4,3,7,61.7,56.0,6.87,6.91,4.25,9515.594886601722
1.0,1,2,2,63.7,60.0,6.33,6.3,4.02,4154.384054728328
0.31,4,6,7,61.1,56.0,4.39,4.42,2.69,2872.82444755179
2.01,3,2,3,62.8,58.0,7.99,7.9,4.99,14467.745486718166
0.36,4,4,4,61.3,54.0,4.63,4.65,2.84,1092.0040280372991
0.39,2,1,5,62.7,58.0,4.65,4.67,2.92,469.54477229447593
0.33,3,3,4,61.6,58.0,4.44,4.39,2.72,358.9432470645015
0.32,3,1,7,60.3,58.0,4.45,4.41,2.67,1204.953372680031
0.4,4,4,1,62.1,54.0,4.75,4.78,2.96,-147.92020082305316
1.0,2,6,2,62.1,61.0,6.3,6.32,3.92,5699.984392642663
0.33,0,2,5,65.1,59.0,4.4,4.32,2.84,-103.63509648902163
1.5,4,3,4,61.3,56.0,7.41,7.37,4.53,10595.401794257183
0.81,2,1,4,63.2,59.0,5.9,5.84,3.71,3343.862459236188
0.32,2,3,6,60.9,57.0,4.41,4.44,2.69,1243.6349458307814
1.11,2,2,4,63.2,57.0,6.61,6.53,4.15,6336.975133590306
0.5,4,2,3,60.8,56.0,5.17,5.19,3.14,976.0906279303513
0.33,1,1,4,63.1,56.0,4.38,4.4,2.77,-544.7828998452401
0.27,0,5,4,66.4,58.0,3.99,4.02,2.66,-4.1176573546795225
1.7,4,2,0,61.3,55.0,7.7,7.63,4.7,10200.02096620322
0.4,2,5,2,60.8,62.0,4.72,4.76,2.88,359.58843338346605
1.51,1,5,1,63.1,58.0,7.28,7.31,4.6,9399.918995862832
0.3,2,5,3,61.9,61.0,4.28,4.32,2.66,98.8917822914591
0.64,2,6,2,63.7,54.0,5.47,5.52,3.5,2590.281803434972
0.9,1,4,2,62.8,64.0,6.18,5.99,3.82,3818.6320865941216
1.0,2,2,1,60.2,61.0,6.44,6.48,3.89,3943.7547840906595
1.01,4,6,3,59.8,56.0,6.49,6.52,3.89,6705.207173718058
0.41,2,5,2,62.9,57.0,4.72,4.76,2.98,425.2624650549801
1.0,0,4,3,68.4,58.0,5.97,6.1,4.13,5160.501986422141
0.31,2,3,2,61.5,59.0,4.34,4.38,2.68,-906.8791076179518
1.03,2,6,1,61.8,60.0,6.42,6.45,3.98,5470.0124164168565
1.03,3,2,2,61.9,58.0,6.49,6.43,4.0,4779.713581561498
0.91,3,3,5,61.8,58.0,6.24,6.16,3.83,5535.277329042577
0.31,2,5,6,60.0,56.0,4.45,4.49,2.68,1847.4662654368583
0.8,2,5,2,62.9,60.0,5.87,5.89,3.7,3553.825139987064
1.02,2,6,2,62.7,60.0,6.34,6.39,3.99,5858.224643325066
1.0,4,3,4,62.5,54.0,6.41,6.45,4.02,6027.190524629583
0.34,3,6,2,62.8,58.0,4.48,4.44,2.8,302.01451173552687
1.0,4,3,3,62.3,54.0,6.42,6.38,3.99,5532.503931633759
0.73,4,3,3,61.7,56.0,5.79,5.81,3.58,3166.9063721049006
0.34,1,5,2,63.3,57.0,4.44,4.47,2.82,-240.06798278152382
1.0,3,0,2,62.8,59.0,6.37,6.27,3.97,3812.7133422486227
0.54,4,3,4,61.8,55.3,5.22,5.24,3.23,2123.1971609629372
1.02,2,4,1,60.9,58.0,6.43,6.55,3.95,4836.535956512268
0.8,2,3,5,62.5,56.0,5.95,5.98,3.73,4477.628340228747
0.31,2,2,2,61.0,61.0,4.33,4.39,2.66,-1231.9785827610363
2.0,3,6,1,61.6,59.0,8.2,8.09,5.02,14542.532013209737
1.5,3,0,5,61.5,60.0,7.31,7.27,4.48,9972.245173506422
1.22,3,1,1,62.5,58.0,6.8,6.76,4.24,5686.260488249507
0.72,2,1,3,61.8,60.0,5.72,5.76,3.55,2121.051355701441
0.3,1,3,1,63.3,57.0,4.25,4.28,2.7,-1653.2477092377972
0.54,1,5,3,60.2,61.0,5.27,5.32,3.19,1848.4702095114856
1.02,3,4,2,62.3,58.0,6.38,6.46,4.0,5383.69408209315
1.01,2,4,3,63.1,60.0,6.39,6.29,4.0,5524.795836540172
0.3,4,3,7,60.9,56.0,4.34,4.36,2.65,1855.268563732296
1.19,3,1,1,61.6,56.0,6.87,6.83,4.22,5429.136136892181
1.51,1,1,1,63.6,60.0,7.23,7.27,4.61,8057.585141629501
1.02,1,3,0,57.4,59.0,6.64,6.6,3.8,3970.442809292778
3.22,4,1,0,62.6,55.0,9.49,9.42,5.92,24600.104000728992
0.41,4,5,2,62.9,57.0,4.76,4.72,2.98,629.0831455069642
0.52,2,6,1,62.4,59.0,5.05,5.15,3.18,1138.046310391895
1.52,3,6,2,60.8,61.0,7.39,7.26,4.45,10584.98689398624
0.36,4,2,6,62.0,54.0,4.59,4.61,2.85,1424.0055104434077
0.51,3,6,2,62.7,59.0,5.08,5.06,3.18,1597.2631527651515
0.53,3,0,3,62.7,56.0,5.18,5.15,3.24,366.5004145602247
1.01,1,4,1,61.3,62.0,6.44,6.48,3.96,4460.384059502172
0.7,1,4,0,63.9,60.0,5.65,5.52,3.58,1135.862062968119
0.34,4,2,3,61.2,55.0,4.49,4.53,2.76,-166.51215638731628
1.04,3,3,3,62.2,58.0,6.49,6.4,4.01,5685.4798557842105
0.39,3,5,3,60.1,61.0,4.76,4.72,2.85,919.4290338123487
1.01,3,4,4,61.7,58.0,6.4,6.43,3.96,6307.941409910804
0.3,2,4,6,62.6,56.0,4.27,4.29,2.68,1358.4947605196107
1.71,4,3,4,63.0,56.0,7.65,7.58,4.8,12508.859680146927
1.1,3,2,3,61.4,58.0,6.68,6.62,4.08,5911.680068610805
1.15,4,2,1,62.6,55.0,6.74,6.65,4.19,5495.938397572592
0.32,4,2,4,61.8,55.0,4.41,4.42,2.73,137.63902968930006
2.01,3,3,1,59.9,62.0,8.15,8.04,4.85,13787.621729860803
0.24,2,3,6,61.7,56.0,3.98,4.02,2.46,714.3543057565107
0.41,2,5,1,62.9,58.0,4.74,4.77,2.99,-118.91649802029133
0.28,2,6,6,60.6,58.0,4.23,4.25,2.57,1935.4892050846709
0.31,3,6,2,60.9,60.0,4.38,4.39,2.67,170.21327781868786
0.45,1,4,3,56.8,62.0,5.1,5.14,2.91,955.9291688607623
0.44,2,5,4,60.7,58.0,4.88,4.91,2.97,1765.5780893414822
0.37,4,4,6,61.3,56.0,4.65,4.68,2.86,2131.4280720223032
0.9,3,3,3,62.4,61.0,6.17,6.13,3.84,4360.127438366927
0.53,4,4,1,62.2,53.0,5.19,5.22,3.24,890.0853274840833
0.54,3,1,7,58.8,61.0,5.35,5.29,3.13,2842.0981185660994
1.0,2,5,3,59.0,58.0,6.49,6.53,3.84,6048.2193175757575
0.32,4,4,7,61.3,57.0,4.42,4.46,2.72,2266.3172856245183
1.23,3,2,1,61.2,57.0,6.89,6.86,4.21,6173.157020537744
1.02,2,5,1,62.8,55.0,6.4,6.43,4.03,5104.337899679629
0.56,3,5,5,59.2,56.0,5.49,5.39,3.22,3324.2992227001114
0.43,4,2,7,62.2,55.0,4.87,4.84,3.02,2392.7398649794213
0.52,4,3,4,62.1,54.0,5.14,5.17,3.2,1986.3417174640776
0.38,2,3,2,61.8,53.7,4.67,4.69,2.9,-325.18928508687304
0.9,2,1,6,63.4,57.0,6.09,6.12,3.87,5188.2223143015
1.72,3,2,2,62.0,57.0,7.67,7.63,4.74,11212.896818721683
0.31,2,2,2,61.7,59.0,4.36,4.39,2.7,-1263.9455287370433
2.02,3,4,1,61.0,59.0,8.2,8.13,4.98,14163.007799843133
0.56,4,5,5,61.0,56.0,5.32,5.36,3.26,3446.7612919134444
0.42,4,3,7,62.0,57.0,4.82,4.8,2.98,2615.8694977737237
0.34,2,1,2,61.3,61.0,4.45,4.49,2.74,-1360.635265125104
0.43,4,3,4,62.3,56.0,4.82,4.85,3.01,1224.7852973755503
1.51,0,0,2,63.4,60.0,7.31,7.18,4.59,8057.997760002223
0.32,2,3,3,60.2,57.0,4.42,4.45,2.67,-209.26729170555382
1.24,3,3,4,62.0,55.0,6.95,6.89,4.29,8038.850664732467
0.31,4,5,4,61.4,56.0,4.38,4.35,2.68,1030.7277388328498
1.32,4,3,5,62.3,57.0,6.96,7.04,4.36,9439.561957700675
1.02,4,2,1,61.6,55.0,6.49,6.43,3.98,4394.739359149945
0.7,2,0,3,61.1,61.0,5.64,5.69,3.46,1683.6892097453924
1.0,3,4,4,62.7,55.0,6.39,6.34,3.99,6202.515400583243
0.41,4,3,3,61.4,59.0,4.78,4.76,2.93,537.6807738594598
0.52,3,3,2,59.7,60.0,5.22,5.2,3.11,835.5652939176584
0.51,2,6,3,60.5,60.0,5.16,5.19,3.13,2064.5569434295116
0.3,3,6,2,61.7,59.0,4.28,4.31,2.65,109.91522245915212
0.39,1,6,5,58.1,60.0,4.82,4.85,2.81,2143.403099214788
0.38,3,3,7,62.5,60.0,4.64,4.61,2.89,2100.7272930141353
1.01,3,4,1,58.3,58.0,6.56,6.55,3.82,4948.265731931466
1.36,4,3,2,60.9,56.0,7.15,7.16,4.36,8344.923112556105
1.21,4,1,2,60.6,55.0,6.92,6.87,4.18,6330.748392535432
0.3,2,4,7,62.1,57.0,4.26,4.3,2.66,1883.0370310212563
0.41,3,6,6,62.2,58.0,4.77,4.71,2.95,2856.119705280021
2.03,3,0,4,59.3,60.0,8.36,8.28,4.93,14457.01839400922
0.36,4,6,2,62.5,56.0,4.55,4.57,2.85,655.4513113164026
0.4,3,6,2,61.4,56.0,4.83,4.72,2.93,811.1364620961799
2.11,3,6,1,60.9,60.0,8.28,8.21,5.02,15692.030673097306
1.06,4,2,2,63.0,55.0,6.49,6.44,4.08,5210.61987760763
0.33,1,1,4,63.2,57.0,4.37,4.4,2.77,-570.1301268874126
0.72,3,5,7,61.3,60.0,5.74,5.71,3.51,5557.71637464038
1.51,1,0,2,62.4,64.0,7.31,7.23,4.54,8157.830531804351
1.0,3,3,3,62.9,56.0,6.42,6.27,3.99,5307.88349850838
1.02,4,4,2,62.8,55.0,6.43,6.4,4.03,5494.785257857343
0.43,4,5,1,62.1,56.0,4.85,4.84,3.01,358.69487189766005
1.0,0,3,0,66.4,59.0,6.16,6.09,4.07,3305.3425092938987
1.7,3,1,2,58.6,59.0,7.79,7.75,4.55,10800.784383232209
0.72,4,6,1,61.1,58.0,5.76,5.79,3.53,3050.752140262902
1.22,3,3,2,63.0,57.0,6.84,6.74,4.28,6781.440331816425
1.06,1,4,4,58.5,57.0,6.68,6.73,3.92,6655.590693234864
1.11,4,2,2,60.2,54.0,6.82,6.7,4.07,5720.082511117878
1.01,3,2,1,61.9,59.0,6.42,6.37,3.96,4098.39720593309
1.06,3,3,6,61.1,58.0,6.53,6.57,4.0,7462.2691929310895
1.54,3,5,1,59.0,62.0,7.59,7.56,4.47,9929.714762178271
0.56,2,5,2,58.5,59.0,5.42,5.45,3.18,1745.7331974499975
0.25,1,4,4,63.6,57.0,4.01,4.04,2.56,-184.29536538955745
0.9,4,6,2,61.6,56.0,6.19,6.21,3.82,5129.716445466046
0.56,0,5,1,64.5,61.0,5.18,5.14,3.33,664.5232427821825
0.31,4,4,7,60.8,56.0,4.43,4.45,2.7,2216.444322898489
0.39,2,6,3,60.2,59.0,4.74,4.76,2.86,1185.0506646334852
1.01,3,4,4,59.4,60.0,6.5,6.46,3.85,6357.685746817807
2.02,4,1,2,62.4,56.0,8.07,8.11,5.05,13891.585465642864
1.03,4,6,1,61.2,57.0,6.51,6.59,4.01,5761.776453508123
1.57,3,2,4,61.7,58.0,7.47,7.56,4.64,10772.392829163951
0.31,2,6,7,62.0,56.0,4.33,4.35,2.69,2610.1886084513317
0.5,3,6,2,61.1,59.0,5.08,5.04,3.09,1620.677555141879
0.3,4,5,3,62.4,57.0,4.29,4.24,2.66,391.7558931778849
1.22,2,6,1,62.2,58.0,6.85,6.91,4.28,7165.3766518406765
0.27,2,4,5,61.9,58.0,4.17,4.2,2.59,626.735082146366
0.41,4,5,6,61.9,55.0,4.79,4.78,2.96,2740.2668851033914
1.24,3,4,2,61.6,59.0,6.9,6.86,4.24,7333.337554467221
0.41,2,1,6,62.0,56.0,4.75,4.77,2.95,1208.698341296119
0.4,4,3,1,62.5,53.0,4.75,4.79,2.98,-477.4201081738315
1.01,4,4,2,62.0,57.0,6.38,6.42,3.97,5445.980738280692
1.5,3,1,4,62.7,59.0,7.25,7.3,4.56,9775.467392319091
0.56,4,6,1,61.3,56.0,5.3,5.33,3.26,1760.1224787069793
0.36,4,1,4,62.1,57.0,4.54,4.58,2.83,57.22829513666284
1.51,3,1,3,59.9,60.0,7.42,7.36,4.43,9438.885946683331
1.3,2,1,4,62.1,59.0,6.97,7.01,4.34,7791.722878251275
0.32,4,3,6,61.7,56.0,4.41,4.37,2.71,1442.5716458945658
0.26,2,5,2,62.0,54.0,4.08,4.11,2.54,-485.54817320956363
1.51,2,5,1,61.8,57.0,7.34,7.32,4.53,9600.768361298411
0.33,3,5,6,60.1,58.0,4.51,4.47,2.7,2068.8134057215075
1.34,4,3,4,62.7,57.0,7.04,7.1,4.43,9051.75802736001
1.01,1,5,2,63.2,59.0,6.25,6.28,3.96,5369.33084053127
1.0,3,3,3,60.0,59.0,6.54,6.46,3.9,5367.265220588208
1.42,4,4,6,60.8,56.0,7.25,7.32,4.43,11239.97828523829
0.9,3,2,3,61.2,61.0,6.18,6.08,3.75,4126.1396540554415
1.01,2,5,3,63.4,60.0,6.37,6.31,4.02,5841.32660438836
0.36,3,6,3,60.5,58.0,4.63,4.6,2.79,1077.363720647681
0.7,3,5,2,59.1,62.0,5.8,5.74,3.41,2916.22579125688
0.37,1,3,1,63.3,55.0,4.58,4.61,2.91,-1132.4373672437737
0.91,2,5,2,63.3,56.0,6.12,6.17,3.89,4594.949099822189
0.8,4,2,3,62.8,57.0,5.91,5.87,3.7,3376.056398762565
0.9,1,5,1,63.4,60.0,6.02,6.07,3.83,3840.502672103701
0.31,4,3,7,61.7,56.0,4.38,4.34,2.69,1861.3218293477423
1.51,1,3,4,62.4,59.0,7.25,7.28,4.53,10313.30996792602
1.11,3,1,1,61.5,58.0,6.65,6.61,4.08,4713.389636001957
0.41,4,2,4,61.0,54.0,4.84,4.8,2.94,826.0875846568274
1.01,2,0,1,62.8,59.0,6.34,6.37,3.99,3329.0208305273463
0.7,4,6,3,61.6,58.0,5.66,5.7,3.5,3881.7966790194073
1.63,4,3,4,61.7,55.0,7.6,7.56,4.68,11824.761795868371
1.61,3,6,1,61.3,58.0,7.56,7.49,4.61,10945.573712609557
0.72,2,2,2,63.0,58.0,5.68,5.71,3.59,1931.1993371874619
0.54,3,3,3,62.0,58.0,5.21,5.18,3.22,1422.9277806114205
1.22,2,3,7,62.0,59.0,6.8,6.85,4.23,9232.883810360938
0.33,3,3,7,59.4,59.0,4.54,4.49,2.68,1928.5203939701644
1.34,2,3,3,60.7,59.0,7.04,7.07,4.28,8423.580440032665
0.76,4,2,6,61.8,57.0,5.82,5.86,3.61,4608.9262848867675
1.74,4,5,1,62.3,57.0,7.8,7.7,4.83,11878.195468700098
0.32,4,3,2,61.3,57.0,4.37,4.4,2.69,-516.4003920750033
0.5,4,4,3,61.1,58.0,5.1,5.13,3.13,1605.6857892818857
1.44,1,3,0,63.2,54.8,7.18,7.21,4.54,7660.844660735818
0.7,0,1,2,65.2,58.0,5.6,5.56,3.64,1038.4029915336014
0.52,4,5,3,61.4,54.0,5.2,5.23,3.2,2137.6204689751185
0.73,2,3,6,62.9,59.0,5.7,5.78,3.61,4330.232469319305
1.23,3,2,4,61.1,58.0,6.91,6.86,4.21,7639.06002226202
1.02,3,2,3,61.9,57.0,6.5,6.4,3.99,5189.007099672144
1.0,4,5,2,61.6,55.0,6.45,6.43,3.97,5684.390649934743
0.7,2,6,2,61.1,58.0,5.66,5.73,3.48,3182.8406974657496
1.5,2,5,1,62.8,57.0,7.17,7.23,4.52,9559.256002625194
2.0,2,0,5,63.0,59.0,7.97,8.0,5.03,14572.329139655641
0.3,2,3,3,63.1,56.0,4.28,4.25,2.69,-516.9341635891401
0.26,3,5,5,58.9,61.0,4.19,4.16,2.46,1111.040114409684
0.58,3,5,2,62.7,58.0,5.33,5.32,3.34,1838.5287498972282
0.4,2,4,4,60.4,61.0,4.74,4.77,2.87,1078.972020127389
0.26,4,6,4,62.0,55.0,4.12,4.1,2.55,1016.985182281086
1.0,0,2,1,65.1,58.0,6.27,6.15,4.05,3519.593098210213
0.52,0,4,4,57.2,59.0,5.35,5.39,3.07,1920.0781875283135
1.02,3,6,1,59.7,60.0,6.58,6.55,3.92,5516.28216111128
1.7,1,1,2,59.3,58.0,7.72,7.77,4.59,10591.072683209935
1.01,3,2,1,61.6,61.0,6.39,6.31,3.91,4096.315716744842
0.55,4,5,3,61.8,57.0,5.34,5.27,3.28,2225.979337282422
1.04,1,4,4,63.2,57.0,6.41,6.44,4.06,6284.309439556204
1.02,3,6,3,62.9,60.0,6.42,6.37,4.02,6390.733442876578
0.3,4,4,2,62.3,54.0,4.3,4.27,2.67,-353.54574281916985
0.97,4,4,0,60.7,56.0,6.43,6.41,3.9,4102.638372527724
0.31,4,5,3,62.0,55.0,4.35,4.33,2.69,533.3134375328154
0.81,4,2,4,61.8,58.0,5.97,6.04,3.71,3991.6660218326924
1.02,3,6,2,62.3,59.0,6.42,6.38,3.99,5965.990692400162
0.3,3,1,6,61.1,59.0,4.31,4.33,2.64,519.746676917066
0.4,2,5,4,62.8,59.0,4.63,4.67,2.92,1352.426154276969
0.71,2,4,6,63.2,60.0,5.65,5.61,3.56,4427.142319821326
0.7,3,3,2,61.5,58.0,5.69,5.76,3.52,2275.042775304132
0.23,4,5,1,61.5,55.0,3.95,3.98,2.43,-941.2610272431252
1.09,4,3,4,62.3,55.0,6.59,6.63,4.12,6831.728790141296
0.3,4,5,5,61.0,56.0,4.33,4.39,2.66,1501.7977806101035
0.35,3,5,3,59.5,58.0,4.59,4.62,2.74,764.714369267831
1.13,4,4,3,62.1,56.0,6.65,6.71,4.15,7024.364956780542
0.31,4,3,6,61.5,54.0,4.36,4.39,2.69,1448.4713021804528
1.33,4,1,3,61.1,54.0,7.14,7.15,4.37,7920.247915977763
1.25,3,1,1,60.5,58.0,7.0,6.96,4.22,6002.299137177375
2.0,0,2,2,61.2,50.0,8.17,8.08,4.97,13684.890210654125
0.7,4,3,2,62.5,56.0,5.67,5.69,3.55,2381.0180044612684
0.39,1,4,3,64.3,55.0,4.56,4.64,2.96,343.5897585213147
0.5,4,5,3,60.8,57.0,5.16,5.13,3.13,1926.1675758568338
0.3,3,5,3,61.6,58.0,4.33,4.31,2.66,277.19002493311564
1.37,4,0,3,63.0,57.0,7.11,7.05,4.46,7816.891383610409
0.8,4,2,3,62.1,54.0,5.96,5.99,3.71,3470.6053900321485
0.28,2,4,6,60.1,59.0,4.24,4.25,2.55,1295.4702820295997
0.34,1,5,2,60.5,60.1,4.5,4.53,2.73,-143.0099422568046
0.3,2,5,3,62.6,58.0,4.25,4.28,2.67,145.40254605510154
0.85,4,5,1,62.8,57.0,6.06,6.01,3.79,3752.9302784036663
1.0,2,5,2,60.9,59.0,6.38,6.43,3.9,5459.898299077529
0.41,3,3,3,62.6,59.0,4.73,4.76,2.97,363.4451040989984
1.5,3,3,3,60.3,60.0,7.34,7.26,4.4,10012.858138665735
0.72,2,2,1,63.3,57.0,5.7,5.67,3.6,1413.254853826913
0.33,3,3,4,62.0,59.0,4.42,4.36,2.72,317.1581901249501
0.39,4,5,7,61.5,55.5,4.68,4.72,2.88,3141.7617490506545
0.4,4,5,3,61.4,57.0,4.78,4.75,2.92,1128.1334833030996
1.01,1,4,2,63.5,59.0,6.29,6.38,4.02,4988.465497664052
1.02,4,1,1,60.6,56.0,6.57,6.53,3.97,4059.600399056428
1.01,4,6,2,63.0,56.0,6.36,6.41,4.02,6053.195098400904
0.7,4,4,2,61.8,56.0,5.68,5.75,3.53,2754.4276161502385
0.57,2,4,3,59.5,57.0,5.39,5.43,3.22,2026.957328066706
1.5,2,4,2,63.9,58.0,7.12,7.16,4.56,9662.271724311375
1.01,3,0,1,59.3,56.0,6.51,6.45,3.84,3667.5484373055674
0.51,4,6,3,61.2,55.0,5.17,5.13,3.15,2367.448059677274
1.0,3,5,1,61.7,58.0,6.39,6.34,3.93,5028.292352300493
0.71,3,5,6,62.5,57.0,5.67,5.62,3.53,4988.800551214137
0.52,2,6,5,59.8,55.0,5.28,5.35,3.18,3258.5645269907363
0.4,1,1,7,62.3,62.0,4.69,4.72,2.93,1352.2321976314624
0.81,3,1,5,62.9,59.0,5.95,5.84,3.71,3944.7589485238623
0.53,4,4,5,61.3,55.0,5.23,5.27,3.22,2879.6961981404556
2.02,3,1,1,59.4,59.0,8.25,8.21,4.89,13284.478317020412
2.11,4,1,2,61.0,57.0,8.37,8.29,5.08,14689.393828052196
1.15,4,6,3,58.5,57.0,6.96,6.93,4.06,7887.68444187187
0.7,3,1,5,60.1,59.0,5.8,5.72,3.46,3120.93785662298
1.07,3,4,2,61.7,56.0,6.66,6.5,4.06,5775.997513622558
0.56,4,2,2,61.9,54.0,5.3,5.33,3.29,971.3053657212663
1.74,4,3,3,62.9,57.0,7.68,7.64,4.82,12288.661281917399
0.31,2,3,5,62.2,56.0,4.31,4.34,2.69,641.1706357742705
0.5,2,2,5,62.9,56.0,5.03,5.08,3.18,1685.5091350263729
1.07,4,6,5,60.3,56.0,6.63,6.68,4.01,8191.0071609291135
0.3,3,3,4,61.8,59.0,4.37,4.34,2.69,54.27508529597162
0.51,4,5,2,62.1,55.0,5.09,5.15,3.18,1541.5141323516468
0.91,2,3,2,63.5,58.0,6.15,6.04,3.87,3850.2376090159564
0.3,2,2,2,61.3,58.0,4.29,4.33,2.64,-1251.9182545621093
0.7,4,4,3,61.0,55.0,5.74,5.79,3.52,3294.419587734874
0.76,4,6,4,61.7,56.0,5.84,5.87,3.61,4916.951573024933
1.15,4,1,4,61.3,56.0,6.74,6.76,4.14,6758.593838287476
1.47,3,0,1,60.0,58.0,7.36,7.31,4.4,7779.905917703158
1.2,4,3,2,61.8,59.0,6.77,6.8,4.19,6797.293166348349
1.07,4,5,2,60.4,57.0,6.62,6.56,3.98,6337.844782981397
1.01,4,4,2,62.0,54.0,6.41,6.49,4.0,5499.317328679476
0.28,3,3,5,60.2,60.0,4.24,4.26,2.56,558.0197799837906
2.27,3,2,1,60.7,59.0,8.5,8.45,5.15,15976.853302217978
0.4,3,6,3,61.7,59.0,4.75,4.72,2.92,1279.9606551839784
0.39,2,0,4,63.5,58.0,4.64,4.59,2.93,-412.83299020370805
1.14,3,2,1,60.6,59.0,6.8,6.77,4.11,5278.746454461294
0.53,4,5,6,61.9,55.0,5.2,5.21,3.22,3679.1845210842484
0.4,4,1,1,61.0,58.0,4.74,4.77,2.9,-1122.3258421404994
0.58,3,2,3,59.7,59.0,5.42,5.33,3.21,1510.9643108259015
0.7,3,6,2,61.2,58.0,5.74,5.7,3.5,3222.866495769178
0.55,4,2,7,61.5,55.0,5.25,5.29,3.25,3416.184118968418
0.72,2,1,3,63.3,57.0,5.66,5.72,3.6,2128.207089052875
0.3,4,4,2,62.3,53.9,4.28,4.31,2.68,-332.2404550926781
1.02,4,2,2,61.9,57.0,6.46,6.4,3.98,4844.258996649733
0.51,2,1,2,63.5,55.0,5.07,5.11,3.23,-89.36806725040242
0.65,3,5,1,62.6,59.0,5.54,5.49,3.45,1891.8732620211297
1.07,4,2,2,61.1,56.0,6.63,6.6,4.04,5329.05539795169
0.43,4,3,6,61.8,55.0,4.87,4.9,3.02,2249.6238191997318
0.32,3,1,7,60.3,58.0,4.41,4.45,2.67,1241.5751633487757
0.28,2,4,3,62.7,58.0,4.14,4.15,2.6,-306.69147053462575
1.7,2,3,3,62.6,57.0,7.6,7.67,4.78,11714.105381545916
0.51,2,1,2,62.5,58.0,5.05,5.12,3.18,-67.43597412493227
0.71,4,6,3,60.4,57.0,5.77,5.82,3.5,4019.735726499096
0.4,3,5,3,62.0,58.0,4.73,4.69,2.92,975.3772777978706
0.9,4,3,2,60.2,56.0,6.24,6.29,3.77,4233.821037912955
0.59,1,4,4,60.5,61.0,5.43,5.5,3.31,2402.163035204014
1.19,3,6,1,58.6,61.0,6.93,6.89,4.05,7110.430634720571
0.51,3,3,3,61.3,59.0,5.17,5.11,3.15,1164.991670812794
0.5,2,5,3,61.8,57.0,5.05,5.11,3.14,1700.9327618417155
1.01,0,2,1,64.9,56.0,6.33,6.25,4.08,3645.357935582306
0.63,3,5,4,60.4,58.0,5.59,5.64,3.39,3344.4844775559204
0.72,4,6,1,62.7,55.0,5.7,5.72,3.58,3048.7997456108997
0.3,4,4,3,60.7,57.0,4.34,4.29,2.62,164.80699135269379
0.3,4,5,5,61.6,56.0,4.32,4.35,2.67,1460.4985879010037
0.29,2,6,5,59.1,61.0,4.33,4.37,2.57,1501.5849210039682
1.0,2,5,1,63.2,56.0,6.33,6.36,4.01,4890.296941198437
1.17,4,3,4,61.7,57.0,6.71,6.75,4.15,7587.6178739960615
1.56,2,2,5,63.3,58.0,7.3,7.35,4.64,11058.294038739581
0.56,4,5,2,62.7,57.0,5.27,5.23,3.29,1820.5794404762682
0.41,2,1,1,63.5,57.0,4.72,4.7,2.99,-1418.2184424239163
1.53,2,1,4,62.8,55.0,7.35,7.4,4.63,9988.043324825181
0.52,2,0,2,62.5,59.0,5.14,5.16,3.22,-387.92455201206167
0.4,4,0,2,61.4,55.0,4.75,4.8,2.93,-907.5623106276539
1.0,3,4,3,59.0,59.0,6.54,6.51,3.85,5774.266477117834
0.36,4,4,4,61.5,55.0,4.57,4.61,2.82,1101.8620818219292
0.41,4,5,3,61.8,57.0,4.76,4.78,2.95,1221.3578192910777
0.9,3,2,2,61.4,60.0,6.13,6.08,3.75,3679.6208537483412
